
Type	Name	Value	TTL	Actions
A	@	50.62.141.189	10800 seconds	Edit
A	admin	50.62.141.189	10800 seconds	Edit
A	mail	50.62.141.189	10800 seconds	Edit
CNAME	autodiscover	autodiscover.outlook.com	1 Hour	Edit
CNAME	cpanel	@	10800 seconds	Edit
CNAME	email	email.secureserver.net	1 Hour	Edit
CNAME	lyncdiscover	webdir.online.lync.com	1 Hour	Edit
CNAME	msoid	clientconfig.microsoftonline-p.net	1 Hour	Edit
CNAME	sip	sipdir.online.lync.com	1 Hour	Edit
CNAME	webdisk	@	10800 seconds	Edit
CNAME	webdisk.admin	@	10800 seconds	Edit
CNAME	whm	@	10800 seconds	Edit
CNAME	www	@	10800 seconds	Edit
CNAME	www.admin	@	10800 seconds	Edit
CNAME	zb67491118	zmverify.zoho.com	1 Hour	Edit
CNAME	_domainconnect	_domainconnect.gd.domaincontrol.com	1 Hour	Edit
MX	@	mail.nocturnalis.com (Priority: 0)	1 Hour	Edit
NS	@	ns75.domaincontrol.com	1 Hour	
NS	@	ns76.domaincontrol.com	1 Hour	
SOA	@	Primary nameserver: ns75.domaincontrol.com.	1 Hour
